,ACTIVITĂŢI ŞTIINŢIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVICII  ÎN DOMENIUL TI,,,,,,,,,SERVICII INFORMAŢIONALE,,,,,,,,,                                                                                          SERVICII EDUCAŢIONALE  (de dezvoltare personală)                                                                                                                             ,,,,,,,,,                                                                              SERVICII DE RECREERE,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conferinţă,,Simpozion,,Lecţie publică ,,Masă rotundă,,Colocviu,,TOTAL,,Întâlnire cu scriitori,,Întâlnire cu personalităţi,,Discuţie / dezbatere,,Oră de lectură,,"Spectacol   (seară lit.artist./muzicala, medalion lit.art., matineu, recital de poezie)  ",,"Concurs (de erudiție, de creație etc.)",,"Vizionarea
filmelor și documentelor video tematice",,Lansare de publicaţii,,Prezentare de publicaţii,,Revistă bibliografică,,Atelier de creaţie,,Jocuri de logică,,"Expoziţie (pictură, foto, desene, handmade etc.)        ",,"Alte activităţi: Saloane, Târguri, Festivaluri etc.",,TOTAL,, NR. ACTIVITĂŢI PENTRU COPII (din total) ,,CLUB,,CENACLU,,EXPOZIŢII DE CARTE,,(servicii de formare a competenţelor digitale),,,,,,,,,,,,,,,,,,"(studierea limbilor, teatru, conduită, artă oratorică, orientarea în carieră, educaţie interdisciplinară, educaţie civică, sănătate, muzică, educaţie cognitivă etc.) ",,,,,,,,,"(modelare, quiling, croşetare, macrameu, croitorie, dans, cinema,jocuri de logică etc)",,,,,,,,,ACTIVITĂŢI,,Nr. activităţi pentru copii (din total),,CLUB,,CENACLU,,Expoziţii,,SERVICII LIVRATE,,,,,,,,,Din care servicii în domeniul TI,,,,,,,,,,,,Servicii moderne planificate,Servicii moderne realizate,Servicii de lectură planificate,Servicii de lectură realizate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
